id;data_inversa;dia_semana;horario;uf;br;km;municipio;causa_acidente;tipo_acidente;classificacao_acidente;fase_dia;sentido_via;condicao_metereologica;tipo_pista;tracado_via;uso_solo;ano;pessoas;mortos;feridos_leves;feridos_graves;ilesos;ignorados;feridos;veiculos
175386;13/01/2007;Quarta;21:00:00;SP;116;28.9;CRUZEIRO;Outras;Capotamento;Sem Vtimas;Plena noite;Decrescente;Chuva;Dupla;Reta;Rural;2007;1;1;1;1;1;1;1;1
175387;14/01/2007;Quinta;17:50:00;MS;463;59.2;PONTA PORA;Falta de ateno;Sada de Pista;Sem Vtimas;Pleno dia;Decrescente;Chuva;Simples;Curva;Rural;2007;2;1;1;1;2;1;1;1
175388;14/01/2007;Quinta;15:20:00;SC;101;144;ITAPEMA;Falta de ateno;Coliso lateral;Sem Vtimas;Plena noite;Decrescente;Ceu Claro;Dupla;Reta;Urbano;2007;2;1;1;1;2;1;1;2
175389;13/01/2007;Quarta;16:30:00;MG;381;754.5;CAMPANHA;Outras;Coliso lateral;Com Vtimas Feridas;Pleno dia;Crescente;Chuva;Dupla;Curva;Rural;2007;2;1;1;1;1;1;1;2
175390;14/01/2007;Quinta;18:40:00;SC;101;39.6;JOINVILLE;Falta de ateno;Coliso Transversal;Com Vtimas Feridas;Anoitecer;Crescente;Chuva;Dupla;Reta;Urbano;2007;2;1;1;1;1;1;1;2
175391;14/01/2007;Quinta;18:30:00;SP;381;41.7;ATIBAIA;No guardar distncia de segurana;Capotamento;Com Vtimas Feridas;Pleno dia;Decrescente;Nublado;Dupla;Reta;Rural;2007;2;1;1;1;1;1;1;1
175392;11/01/2007;Segunda;17:40:00;PE;104;76.3;CARUARU;No guardar distncia de segurana;Coliso traseira;Sem Vtimas;Anoitecer;Crescente;Ceu Claro;Simples;Reta;Rural;2007;2;1;1;1;2;1;1;2
175393;14/01/2007;Quinta;12:50:00;MG;262;36.8;MANHUACU;Falta de ateno;Coliso lateral;Sem Vtimas;Pleno dia;Decrescente;Chuva;Simples;Cruzamento;Urbano;2007;2;1;1;1;2;1;1;2
175394;12/01/2007;Tera;17:15:00;RN;304;33;MOSSORO;Falta de ateno;Coliso traseira;Com Vtimas Feridas;Pleno dia;Crescente;Sol;Simples;Reta;Urbano;2007;3;1;1;1;2;1;1;2
175395;14/01/2007;Quinta;20:20:00;RS;116;243.3;SAO LEOPOLDO;Desobedincia  sinalizao;Coliso traseira;Sem Vtimas;Anoitecer;Crescente;Chuva;Simples;Reta;Urbano;2007;2;1;1;1;2;1;1;2
175396;14/01/2007;Quinta;17:15:00;RO;319;22.3;PORTO VELHO;Falta de ateno;Coliso lateral;Sem Vtimas;Pleno dia;Decrescente;Ceu Claro;Dupla;Cruzamento;Urbano;2007;2;1;1;1;2;1;1;2
175397;11/01/2007;Segunda;20:30:00;SP;116;561;BARRA DO TURVO;Outras;Coliso com objeto fixo;Com Vtimas Feridas;Plena noite;Crescente;Chuva;Dupla;Curva;Rural;2007;1;1;1;1;1;1;1;1
175398;14/01/2007;Quinta;17:45:00;CE;222;1.8;FORTALEZA;No guardar distncia de segurana;Coliso traseira;Sem Vtimas;Pleno dia;Decrescente;Sol;Mltipla;Reta;Urbano;2007;2;1;1;1;2;1;1;2
175399;14/01/2007;Quinta;19:45:00;SC;282;75.5;RANCHO QUEIMADO;Defeito na via;Coliso lateral;Com Vtimas Feridas;Pleno dia;Decrescente;Nublado;Simples;Curva;Rural;2007;6;1;3;1;2;1;4;3
175400;14/01/2007;Quinta;13:30:00;ES;101;40.6;CONCEICAO DA BARRA;Outras;Sada de Pista;Com Vtimas Feridas;Pleno dia;Decrescente;Sol;Simples;Reta;Rural;2007;1;1;1;1;1;1;1;1
175401;14/01/2007;Quinta;14:00:00;BA;418;1;NOVA VICOSA;No guardar distncia de segurana;Coliso traseira;Sem Vtimas;Pleno dia;Crescente;Ceu Claro;Simples;Reta;Rural;2007;2;1;1;1;2;1;1;2
175402;13/01/2007;Quarta;15:00:00;MG;365;3;MONTES CLAROS;Falta de ateno;Coliso traseira;Sem Vtimas;Pleno dia;Crescente;Nublado;Simples;Reta;Rural;2007;2;1;1;1;2;1;1;2
175403;14/01/2007;Quinta;21:05:00;RS;386;381.1;TABAI;Falta de ateno;Atropelamento de pessoa;Com Vtimas Feridas;Plena noite;Crescente;Nublado;Simples;Curva;Rural;2007;3;1;1;1;1;1;2;1
175404;14/01/2007;Quinta;12:30:00;MS;163;45;ELDORADO;Outras;Sada de Pista;Sem Vtimas;Pleno dia;Decrescente;Chuva;Dupla;Reta;Rural;2007;1;1;1;1;1;1;1;1
175405;14/01/2007;Quinta;13:50:00;RS;116;149.1;CAXIAS DO SUL;No guardar distncia de segurana;Coliso traseira;Sem Vtimas;Pleno dia;Decrescente;Nublado;Mltipla;Reta;Urbano;2007;2;1;1;1;2;1;1;2
175406;14/01/2007;Quinta;19:15:00;PE;101;66.6;RECIFE;Falta de ateno;Coliso lateral;Sem Vtimas;Plena noite;Decrescente;Ceu Claro;Mltipla;Reta;Urbano;2007;2;1;1;1;2;1;1;2
175407;14/01/2007;Quinta;13:45:00;AL;101;165.4;TEOTONIO VILELA;Ultrapassagem indevida;Capotamento;Com Vtimas Feridas;Pleno dia;Crescente;Nublado;Simples;Reta;Rural;2007;2;1;1;1;1;1;1;2
175408;12/01/2007;Tera;18:30:00;SP;116;548.5;BARRA DO TURVO;Outras;Sada de Pista;Sem Vtimas;Pleno dia;Crescente;Chuva;Mltipla;Curva;Rural;2007;1;1;1;1;1;1;1;1
175410;14/01/2007;Quinta;16:20:00;SP;116;63.9;GUARATINGUETA;Outras;Coliso com objeto fixo;Sem Vtimas;Pleno dia;Decrescente;Chuva;Dupla;Reta;Urbano;2007;2;1;1;1;2;1;1;2
175411;14/01/2007;Quinta;14:40:00;RS;116;148.7;CAXIAS DO SUL;Falta de ateno;Coliso traseira;Sem Vtimas;Pleno dia;Crescente;Ceu Claro;Dupla;Reta;Urbano;2007;2;1;1;1;2;1;1;2
175413;14/01/2007;Quinta;17:40:00;PR;373;229.7;IVAI;Falta de ateno;Coliso Transversal;Com Vtimas Fatais;Plena noite;Decrescente;Chuva;Simples;Reta;Urbano;2007;2;1;1;1;1;1;1;2
175414;14/01/2007;Quinta;11:00:00;SE;101;55;CARMOPOLIS;Velocidade incompatvel;Coliso lateral;Com Vtimas Feridas;Pleno dia;Crescente;Chuva;Simples;Curva;Rural;2007;2;1;1;1;1;1;1;2
175415;14/01/2007;Quinta;19:50:00;SC;101;4.7;GARUVA;Falta de ateno;Sada de Pista;Sem Vtimas;Anoitecer;Crescente;Chuva;Dupla;Reta;Urbano;2007;2;1;1;1;2;1;1;2
175416;11/01/2007;Segunda;17:00:00;PA;316;16;MARITUBA;No guardar distncia de segurana;Coliso traseira;Sem Vtimas;Pleno dia;Decrescente;Nublado;Dupla;Reta;Urbano;2007;4;1;1;1;4;1;1;4
175417;11/01/2007;Segunda;18:30:00;SP;116;550;BARRA DO TURVO;Outras;Coliso com objeto fixo;Com Vtimas Feridas;Pleno dia;Crescente;Chuva;Simples;Curva;Rural;2007;2;1;1;1;1;1;1;1
175418;12/01/2007;Tera;15:00:00;SP;381;76;SAO PAULO;Outras;Coliso com objeto fixo;Sem Vtimas;Pleno dia;Crescente;Chuva;Dupla;Curva;Rural;2007;1;1;1;1;1;1;1;1
175419;14/01/2007;Quinta;19:20:00;PB;230;15.1;JOAO PESSOA;Falta de ateno;Coliso traseira;Com Vtimas Feridas;Plena noite;Crescente;Nublado;Dupla;Reta;Urbano;2007;4;1;1;1;3;1;1;2
